                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3169,                 8.5119,                 1.7963,                      0,                      0,                      0,                      0,                      0,                 580.75,                      0,                  4e-05,                  4e-05,                  4e-05
                      2,                  2.308,                 9.2026,                 1.9283,                      0,                      0,                      0,                      0,                      0,                 559.94,                      0,              9.901e-05,              9.901e-05,              9.901e-05
                      3,                 2.0711,                 8.2971,                 1.7281,                      0,                      0,                      0,                      0,                      0,                    977,                      0,             0.00015683,             0.00015683,             0.00015683
                      4,                 1.6067,                 4.0059,                 1.4762,                      0,                      0,                      0,                      0,                      0,                 784.88,                      0,             0.00021347,             0.00021347,             0.00021347
                      5,                 1.5285,                 2.5752,                 1.3028,                      0,                      0,                      0,                      0,                      0,                 954.75,                      0,             0.00026891,             0.00026891,             0.00026891
                      6,                 1.3229,                 2.0377,                 1.1491,                      0,                      0,                      0,                      0,                      0,                 809.75,                      0,             0.00032317,             0.00032317,             0.00032317
                      7,                 1.2585,                 1.5598,                 1.1589,                      0,                      0,                      0,                      0,                      0,                 565.12,                      0,             0.00037624,             0.00037624,             0.00037624
                      8,                  1.264,                 1.5095,                 1.0924,                      0,                      0,                      0,                      0,                      0,                 450.69,                      0,             0.00042812,             0.00042812,             0.00042812
                      9,                  1.257,                 1.3515,                 1.1412,                      0,                      0,                      0,                      0,                      0,                 267.75,                      0,             0.00047882,             0.00047882,             0.00047882
                     10,                 1.2537,                  1.205,                 1.0779,                      0,                      0,                      0,                      0,                      0,                 209.56,                      0,             0.00052832,             0.00052832,             0.00052832
                     11,                 1.1369,                 1.2023,                 1.0046,                      0,                      0,                      0,                      0,                      0,                    250,                      0,             0.00057664,             0.00057664,             0.00057664
                     12,                 1.2061,                 1.2502,                  1.103,                      0,                      0,                      0,                      0,                      0,                 290.75,                      0,             0.00062377,             0.00062377,             0.00062377
                     13,                 1.2542,                 1.4595,                  1.161,                      0,                      0,                      0,                      0,                      0,                 452.38,                      0,             0.00066971,             0.00066971,             0.00066971
                     14,                 1.0661,                 1.0192,                 1.0886,                      0,                      0,                      0,                      0,                      0,                 387.56,                      0,             0.00071447,             0.00071447,             0.00071447
                     15,                  1.135,                 1.0467,                 1.1009,                      0,                      0,                      0,                      0,                      0,                 247.81,                      0,             0.00075803,             0.00075803,             0.00075803
                     16,                 1.1598,                 1.0946,                 1.1021,                      0,                      0,                      0,                      0,                      0,                 224.31,                      0,             0.00080041,             0.00080041,             0.00080041
                     17,                 1.1914,                0.99777,                 1.0652,                      0,                      0,                      0,                      0,                      0,                 266.06,                      0,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.1991,                0.89871,                 1.0218,                      0,                      0,                      0,                      0,                      0,                 233.41,                      0,              0.0008816,              0.0008816,              0.0008816
                     19,                 1.0675,                0.81153,                0.98225,                      0,                      0,                      0,                      0,                      0,                 136.08,                      0,             0.00092042,             0.00092042,             0.00092042
                     20,                 1.0263,                0.81741,                  1.025,                      0,                      0,                      0,                      0,                      0,                 145.69,                      0,             0.00095804,             0.00095804,             0.00095804
                     21,                 1.2078,                0.89114,                  1.067,                      0,                      0,                      0,                      0,                      0,                 93.469,                      0,             0.00099448,             0.00099448,             0.00099448
                     22,                 1.1076,                0.82017,                 1.0593,                      0,                      0,                      0,                      0,                      0,                 131.45,                      0,              0.0010297,              0.0010297,              0.0010297
                     23,                 1.0881,                0.78636,                 1.0528,                      0,                      0,                      0,                      0,                      0,                  77.75,                      0,              0.0010638,              0.0010638,              0.0010638
                     24,                 1.1094,                0.76695,                 1.0185,                      0,                      0,                      0,                      0,                      0,                 85.328,                      0,              0.0010967,              0.0010967,              0.0010967
