                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89479,                 4.9903,                  1.156,                      0,                      0,                      0,                      0,                      0,                   1109,                      0,                 0.0001,                 0.0001,                 0.0001
                      2,                 0.9838,                 2.5465,                 1.2483,                      0,                      0,                      0,                      0,                      0,                 1131.7,                      0,             0.00021891,             0.00021891,             0.00021891
                      3,                0.90339,                 1.3689,                  1.067,                      0,                      0,                      0,                      0,                      0,                 1330.5,                      0,             0.00033663,             0.00033663,             0.00033663
                      4,                0.91088,                 1.1869,                 1.0727,                      0,                      0,                      0,                      0,                      0,                 1279.2,                      0,             0.00045317,             0.00045317,             0.00045317
                      5,                 1.0728,                 1.1181,                 1.1874,                      0,                      0,                      0,                      0,                      0,                 664.17,                      0,             0.00056852,             0.00056852,             0.00056852
                      6,                0.99665,                 1.0223,                 1.1195,                      0,                      0,                      0,                      0,                      0,                 292.92,                      0,             0.00068267,             0.00068267,             0.00068267
                      7,                0.95544,                0.90916,                 1.1406,                      0,                      0,                      0,                      0,                      0,                 365.21,                      0,             0.00079565,             0.00079565,             0.00079565
                      8,                 1.0167,                0.89804,                 1.1192,                      0,                      0,                      0,                      0,                      0,                 238.92,                      0,             0.00090743,             0.00090743,             0.00090743
                      9,                0.90392,                0.96614,                 1.0856,                      0,                      0,                      0,                      0,                      0,                 402.25,                      0,               0.001018,               0.001018,               0.001018
                     10,                0.86866,                0.84764,                 1.1594,                      0,                      0,                      0,                      0,                      0,                   1140,                      0,              0.0011274,              0.0011274,              0.0011274
                     11,                 1.0022,                0.87604,                 1.1381,                      0,                      0,                      0,                      0,                      0,                 746.83,                      0,              0.0012357,              0.0012357,              0.0012357
                     12,                0.96982,                0.74755,                 1.1426,                      0,                      0,                      0,                      0,                      0,                 3393.3,                      0,              0.0013427,              0.0013427,              0.0013427
                     13,                0.95838,                0.81036,                 1.1148,                      0,                      0,                      0,                      0,                      0,                  25216,                      0,              0.0014485,              0.0014485,              0.0014485
                     14,                 1.1002,                0.78111,                 1.2321,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,              0.0015532,              0.0015532,              0.0015532
